timestamp	description	val_auc	num_params
2026-03-15 07:17:20	HIV GNN Baseline	0.519030	175041
2026-03-15 07:17:28	HIV GNN Baseline	0.544065	175041
2026-03-15 07:17:37	HIV GNN Baseline	0.651652	175041
2026-03-15 07:17:46	HIV GNN Baseline	0.700680	175041
2026-03-15 07:17:55	HIV GNN Baseline	0.689187	175041
2026-03-15 07:18:04	HIV GNN Baseline	0.674552	175041
2026-03-15 07:18:13	HIV GNN Baseline	0.703486	175041
2026-03-15 07:18:22	HIV GNN Baseline	0.696919	175041
2026-03-15 07:18:32	HIV GNN Baseline	0.679860	175041
2026-03-15 07:18:42	HIV GNN Baseline	0.693419	175041
2026-03-15 07:18:52	HIV GNN Baseline	0.690044	175041
2026-03-15 07:19:03	HIV GNN Baseline	0.680656	175041
2026-03-15 07:19:15	HIV GNN Baseline	0.691048	175041
2026-03-15 07:19:27	HIV GNN Baseline	0.689649	175041
2026-03-15 07:19:40	HIV GNN Baseline	0.678866	175041
2026-03-15 07:19:53	HIV GNN Baseline	0.693730	175041
2026-03-15 07:20:21	HIV GNN Baseline	0.697111	175041
2026-03-15 07:20:34	HIV GNN Baseline	0.702699	175041
2026-03-15 07:20:48	HIV GNN Baseline	0.681647	175041
2026-03-15 07:21:02	HIV GNN Baseline	0.687423	175041
2026-03-15 07:21:17	HIV GNN Baseline	0.686680	175041
2026-03-15 07:21:31	HIV GNN Baseline	0.699687	175041
2026-03-15 07:21:46	HIV GNN Baseline	0.687486	175041
2026-03-15 07:22:01	HIV GNN Baseline	0.699030	175041
2026-03-15 07:22:16	HIV GNN Baseline	0.700436	175041
2026-03-15 07:22:31	HIV GNN Baseline	0.696275	175041
2026-03-15 07:22:45	HIV GNN Baseline	0.693790	175041
2026-03-15 07:22:59	HIV GNN Baseline	0.690647	175041
2026-03-15 07:23:14	HIV GNN Baseline	0.691000	175041
2026-03-15 07:23:29	HIV GNN Baseline	0.698565	175041
2026-03-15 07:23:45	HIV GNN Baseline	0.692616	175041
2026-03-15 07:24:02	HIV GNN Baseline	0.698858	175041
2026-03-15 07:24:19	HIV GNN Baseline	0.693251	175041
2026-03-15 07:24:37	HIV GNN Baseline	0.701274	175041
2026-03-15 07:24:56	HIV GNN Baseline	0.694871	175041
2026-03-15 07:25:14	HIV GNN Baseline	0.696777	175041
2026-03-15 07:25:36	HIV GNN Baseline	0.696965	175041
2026-03-15 07:25:54	HIV GNN Baseline	0.703685	175041
2026-03-15 07:26:13	HIV GNN Baseline	0.701948	175041
2026-03-15 07:26:34	HIV GNN Baseline	0.701390	175041
2026-03-15 07:26:53	HIV GNN Baseline	0.698803	175041
2026-03-15 07:27:13	HIV GNN Baseline	0.701793	175041
2026-03-15 07:27:33	HIV GNN Baseline	0.695728	175041
2026-03-15 07:27:53	HIV GNN Baseline	0.702594	175041
2026-03-15 07:28:14	HIV GNN Baseline	0.703674	175041
2026-03-15 07:28:34	HIV GNN Baseline	0.702038	175041
2026-03-15 07:28:55	HIV GNN Baseline	0.703540	175041
2026-03-15 07:29:16	HIV GNN Baseline	0.703124	175041
2026-03-15 07:29:37	HIV GNN Baseline	0.701173	175041
2026-03-15 07:29:59	HIV GNN Baseline	0.700983	175041
2026-03-15 07:30:21	HIV GNN Baseline	0.697631	175041
2026-03-15 07:30:45	HIV GNN Baseline	0.700407	175041
2026-03-15 07:31:08	HIV GNN Baseline	0.702067	175041
2026-03-15 07:31:30	HIV GNN Baseline	0.706829	175041
2026-03-15 07:31:52	HIV GNN Baseline	0.703869	175041
2026-03-15 07:32:14	HIV GNN Baseline	0.706734	175041
2026-03-15 07:32:36	HIV GNN Baseline	0.709381	175041
2026-03-15 07:32:58	HIV GNN Baseline	0.709690	175041
2026-03-15 07:33:20	HIV GNN Baseline	0.706261	175041
2026-03-15 07:33:42	HIV GNN Baseline	0.704883	175041
2026-03-15 07:34:04	HIV GNN Baseline	0.712951	175041
2026-03-15 07:34:25	HIV GNN Baseline	0.720579	175041
2026-03-15 07:34:46	HIV GNN Baseline	0.712271	175041
2026-03-15 07:35:08	HIV GNN Baseline	0.698572	175041
2026-03-15 07:35:29	HIV GNN Baseline	0.713045	175041
2026-03-15 07:35:50	HIV GNN Baseline	0.712525	175041
2026-03-15 07:36:11	HIV GNN Baseline	0.717458	175041
2026-03-15 07:36:32	HIV GNN Baseline	0.712699	175041
2026-03-15 07:36:53	HIV GNN Baseline	0.716576	175041
2026-03-15 07:37:14	HIV GNN Baseline	0.712113	175041
2026-03-15 07:37:36	HIV GNN Baseline	0.716426	175041
2026-03-15 07:37:56	HIV GNN Baseline	0.723337	175041
2026-03-15 07:38:17	HIV GNN Baseline	0.717679	175041
2026-03-15 07:38:38	HIV GNN Baseline	0.724431	175041
2026-03-15 07:38:57	HIV GNN Baseline	0.712968	175041
2026-03-15 07:39:16	HIV GNN Baseline	0.713410	175041
2026-03-15 07:39:35	HIV GNN Baseline	0.719518	175041
2026-03-15 07:40:25	HIV GNN Baseline	0.726808	175041
2026-03-15 07:40:44	HIV GNN Baseline	0.722966	175041
2026-03-15 07:41:05	HIV GNN Baseline	0.722928	175041
2026-03-15 07:41:25	HIV GNN Baseline	0.707914	175041
2026-03-15 07:41:46	HIV GNN Baseline	0.722062	175041
2026-03-15 07:42:07	HIV GNN Baseline	0.717086	175041
2026-03-15 07:42:30	HIV GNN Baseline	0.716094	175041
2026-03-15 07:42:53	HIV GNN Baseline	0.722724	175041
2026-03-15 07:43:15	HIV GNN Baseline	0.717739	175041
2026-03-15 07:43:37	HIV GNN Baseline	0.730399	175041
2026-03-15 07:43:59	HIV GNN Baseline	0.714772	175041
2026-03-15 07:44:22	HIV GNN Baseline	0.722418	175041
2026-03-15 07:44:45	HIV GNN Baseline	0.721054	175041
2026-03-15 07:45:07	HIV GNN Baseline	0.717168	175041
2026-03-15 07:45:29	HIV GNN Baseline	0.723755	175041
2026-03-15 07:45:51	HIV GNN Baseline	0.721972	175041
2026-03-15 07:46:12	HIV GNN Baseline	0.731655	175041
2026-03-15 07:46:33	HIV GNN Baseline	0.724689	175041
2026-03-15 07:46:54	HIV GNN Baseline	0.723374	175041
2026-03-15 07:47:15	HIV GNN Baseline	0.725773	175041
2026-03-15 07:47:36	HIV GNN Baseline	0.720873	175041
2026-03-15 07:47:57	HIV GNN Baseline	0.721354	175041
2026-03-15 07:48:18	HIV GNN Baseline	0.723280	175041
2026-03-15 07:48:37	HIV GNN Baseline	0.717525	175041
2026-03-15 07:48:57	HIV GNN Baseline	0.725582	175041
2026-03-15 07:49:17	HIV GNN Baseline	0.714967	175041
2026-03-15 07:49:38	HIV GNN Baseline	0.724234	175041
2026-03-15 07:50:03	HIV GNN Baseline	0.730113	175041
2026-03-15 07:50:30	HIV GNN Baseline	0.730202	175041
2026-03-15 07:50:58	HIV GNN Baseline	0.731497	175041
2026-03-15 07:51:25	HIV GNN Baseline	0.724244	175041
2026-03-15 07:51:53	HIV GNN Baseline	0.728150	175041
2026-03-15 07:52:21	HIV GNN Baseline	0.732304	175041
2026-03-15 07:52:50	HIV GNN Baseline	0.725707	175041
2026-03-15 07:53:19	HIV GNN Baseline	0.726286	175041
2026-03-15 07:53:47	HIV GNN Baseline	0.734141	175041
2026-03-15 07:54:07	HIV GNN Baseline	0.720611	175041
2026-03-15 07:54:27	HIV GNN Baseline	0.731426	175041
2026-03-15 07:54:47	HIV GNN Baseline	0.719744	175041
2026-03-15 07:55:07	HIV GNN Baseline	0.717866	175041
2026-03-15 07:55:27	HIV GNN Baseline	0.729648	175041
2026-03-15 07:55:46	HIV GNN Baseline	0.725202	175041
2026-03-15 07:56:05	HIV GNN Baseline	0.731234	175041
2026-03-15 07:56:24	HIV GNN Baseline	0.734464	175041
2026-03-15 07:56:43	HIV GNN Baseline	0.727581	175041
2026-03-15 07:57:03	HIV GNN Baseline	0.726322	175041
2026-03-15 07:57:25	HIV GNN Baseline	0.734894	175041
2026-03-15 07:57:47	HIV GNN Baseline	0.726328	175041
2026-03-15 07:58:10	HIV GNN Baseline	0.731831	175041
2026-03-15 07:58:32	HIV GNN Baseline	0.732063	175041
2026-03-15 07:58:54	HIV GNN Baseline	0.735661	175041
2026-03-15 07:59:16	HIV GNN Baseline	0.731154	175041
2026-03-15 07:59:38	HIV GNN Baseline	0.732004	175041
2026-03-15 08:00:00	HIV GNN Baseline	0.725612	175041
2026-03-15 08:00:22	HIV GNN Baseline	0.724026	175041
2026-03-15 08:00:44	HIV GNN Baseline	0.734675	175041
2026-03-15 08:01:07	HIV GNN Baseline	0.732665	175041
2026-03-15 08:01:30	HIV GNN Baseline	0.728873	175041
2026-03-15 08:01:53	HIV GNN Baseline	0.733402	175041
2026-03-15 08:02:15	HIV GNN Baseline	0.732965	175041
2026-03-15 08:09:23	HIV GNN Baseline	0.733609	175041
2026-03-15 08:09:41	HIV GNN Baseline	0.736741	175041
2026-03-15 08:10:00	HIV GNN Baseline	0.725166	175041
2026-03-15 08:10:18	HIV GNN Baseline	0.728039	175041
2026-03-15 08:10:37	HIV GNN Baseline	0.728400	175041
2026-03-15 08:10:55	HIV GNN Baseline	0.732905	175041
2026-03-15 08:11:14	HIV GNN Baseline	0.720430	175041
2026-03-15 08:11:32	HIV GNN Baseline	0.734464	175041
2026-03-15 08:11:51	HIV GNN Baseline	0.738734	175041
2026-03-15 08:12:11	HIV GNN Baseline	0.729270	175041
2026-03-15 08:12:33	HIV GNN Baseline	0.730025	175041
2026-03-15 08:12:57	HIV GNN Baseline	0.722227	175041
2026-03-15 08:13:20	HIV GNN Baseline	0.724060	175041
2026-03-15 08:13:44	HIV GNN Baseline	0.732618	175041
2026-03-15 08:14:07	HIV GNN Baseline	0.725908	175041
2026-03-15 08:14:31	HIV GNN Baseline	0.720031	175041
2026-03-15 08:14:56	HIV GNN Baseline	0.736326	175041
2026-03-15 08:15:20	HIV GNN Baseline	0.732394	175041
2026-03-15 08:15:44	HIV GNN Baseline	0.734012	175041
2026-03-15 08:16:09	HIV GNN Baseline	0.729237	175041
2026-03-15 08:16:33	HIV GNN Baseline	0.729020	175041
2026-03-15 08:16:58	HIV GNN Baseline	0.730950	175041
2026-03-15 08:17:23	HIV GNN Baseline	0.730363	175041
2026-03-15 08:17:48	HIV GNN Baseline	0.721629	175041
2026-03-15 08:18:13	HIV GNN Baseline	0.731015	175041
2026-03-15 08:18:38	HIV GNN Baseline	0.734830	175041
2026-03-15 08:19:04	HIV GNN Baseline	0.726037	175041
2026-03-15 08:19:29	HIV GNN Baseline	0.737894	175041
2026-03-15 08:19:54	HIV GNN Baseline	0.729108	175041
2026-03-15 08:20:20	HIV GNN Baseline	0.724635	175041
2026-03-15 08:20:44	HIV GNN Baseline	0.734901	175041
2026-03-15 08:21:09	HIV GNN Baseline	0.723151	175041
2026-03-15 08:21:34	HIV GNN Baseline	0.723441	175041
2026-03-15 08:21:59	HIV GNN Baseline	0.732216	175041
2026-03-15 08:22:25	HIV GNN Baseline	0.724759	175041
2026-03-15 08:22:50	HIV GNN Baseline	0.728520	175041
2026-03-15 08:23:16	HIV GNN Baseline	0.729770	175041
2026-03-15 08:23:41	HIV GNN Baseline	0.731173	175041
2026-03-15 08:24:07	HIV GNN Baseline	0.730445	175041
2026-03-15 08:24:32	HIV GNN Baseline	0.735816	175041
2026-03-15 08:24:58	HIV GNN Baseline	0.725594	175041
2026-03-15 08:25:24	HIV GNN Baseline	0.734324	175041
2026-03-15 08:25:50	HIV GNN Baseline	0.719813	175041
2026-03-15 08:26:16	HIV GNN Baseline	0.731027	175041
2026-03-15 08:26:41	HIV GNN Baseline	0.728713	175041
2026-03-15 08:27:06	HIV GNN Baseline	0.726582	175041
2026-03-15 08:27:30	HIV GNN Baseline	0.724376	175041
2026-03-15 08:27:54	HIV GNN Baseline	0.725680	175041
2026-03-15 08:28:18	HIV GNN Baseline	0.728007	175041
2026-03-15 08:28:42	HIV GNN Baseline	0.725895	175041
2026-03-15 08:29:06	HIV GNN Baseline	0.731621	175041
2026-03-15 08:29:31	HIV GNN Baseline	0.717698	175041
2026-03-15 08:29:56	HIV GNN Baseline	0.725329	175041
2026-03-15 08:30:21	HIV GNN Baseline	0.727051	175041
2026-03-15 08:30:46	HIV GNN Baseline	0.723272	175041
2026-03-15 08:31:12	HIV GNN Baseline	0.719446	175041
2026-03-15 08:35:01	HIV GNN Baseline	0.735368	175041
2026-03-15 08:35:25	HIV GNN Baseline	0.712681	175041
2026-03-15 08:35:50	HIV GNN Baseline	0.724669	175041
2026-03-15 08:36:15	HIV GNN Baseline	0.723410	175041
2026-03-15 08:36:40	HIV GNN Baseline	0.722741	175041
2026-03-15 08:37:04	HIV GNN Baseline	0.722029	175041
2026-03-15 08:37:28	HIV GNN Baseline	0.722889	175041
2026-03-15 08:37:51	HIV GNN Baseline	0.731128	175041
2026-03-15 08:38:14	HIV GNN Baseline	0.731153	175041
2026-03-15 08:38:38	HIV GNN Baseline	0.718872	175041
2026-03-15 08:39:01	HIV GNN Baseline	0.726439	175041
2026-03-15 08:39:24	HIV GNN Baseline	0.726257	175041
2026-03-15 08:39:46	HIV GNN Baseline	0.725503	175041
2026-03-15 08:40:08	HIV GNN Baseline	0.728283	175041
2026-03-15 08:40:30	HIV GNN Baseline	0.726721	175041
2026-03-15 08:40:52	HIV GNN Baseline	0.726556	175041
2026-03-15 08:41:14	HIV GNN Baseline	0.726369	175041
2026-03-15 08:41:36	HIV GNN Baseline	0.729434	175041
2026-03-15 08:41:59	HIV GNN Baseline	0.725046	175041
2026-03-15 08:42:23	HIV GNN Baseline	0.727715	175041
2026-03-15 08:42:46	HIV GNN Baseline	0.724242	175041
2026-03-15 08:43:10	HIV GNN Baseline	0.729750	175041
2026-03-15 08:43:34	HIV GNN Baseline	0.729195	175041
2026-03-15 08:43:59	HIV GNN Baseline	0.722702	175041
2026-03-15 08:44:22	HIV GNN Baseline	0.734156	175041
2026-03-15 08:44:45	HIV GNN Baseline	0.719172	175041
2026-03-15 08:45:09	HIV GNN Baseline	0.714575	175041
2026-03-15 08:45:32	HIV GNN Baseline	0.725363	175041
2026-03-15 08:45:56	HIV GNN Baseline	0.733590	175041
2026-03-15 08:46:20	HIV GNN Baseline	0.724938	175041
2026-03-15 08:46:44	HIV GNN Baseline	0.729478	175041
2026-03-15 08:47:08	HIV GNN Baseline	0.719713	175041
2026-03-15 08:47:33	HIV GNN Baseline	0.717880	175041
2026-03-15 08:47:58	HIV GNN Baseline	0.735008	175041
2026-03-15 08:48:23	HIV GNN Baseline	0.729307	175041
2026-03-15 08:48:47	HIV GNN Baseline	0.725092	175041
2026-03-15 08:49:12	HIV GNN Baseline	0.722961	175041
2026-03-15 08:49:36	HIV GNN Baseline	0.725482	175041
2026-03-15 08:50:01	HIV GNN Baseline	0.722821	175041
2026-03-15 08:50:25	HIV GNN Baseline	0.731114	175041
2026-03-15 08:50:48	HIV GNN Baseline	0.720163	175041
2026-03-15 08:51:11	HIV GNN Baseline	0.719731	175041
2026-03-15 08:51:34	HIV GNN Baseline	0.733585	175041
2026-03-15 08:51:57	HIV GNN Baseline	0.739612	175041
2026-03-15 08:52:19	HIV GNN Baseline	0.728538	175041
2026-03-15 08:52:42	HIV GNN Baseline	0.723344	175041
2026-03-15 08:53:05	HIV GNN Baseline	0.727090	175041
2026-03-15 08:53:28	HIV GNN Baseline	0.738365	175041
2026-03-15 08:53:51	HIV GNN Baseline	0.727979	175041
2026-03-15 08:54:15	HIV GNN Baseline	0.723733	175041
2026-03-15 08:54:37	HIV GNN Baseline	0.729050	175041
2026-03-15 08:55:00	HIV GNN Baseline	0.726857	175041
2026-03-15 08:55:23	HIV GNN Baseline	0.734863	175041
2026-03-15 08:55:47	HIV GNN Baseline	0.735409	175041
2026-03-15 08:56:10	HIV GNN Baseline	0.737077	175041
2026-03-15 08:56:33	HIV GNN Baseline	0.720545	175041
2026-03-15 08:56:56	HIV GNN Baseline	0.735807	175041
2026-03-15 09:45:34	HIV GNN Baseline	0.729550	175041
2026-03-15 09:45:55	HIV GNN Baseline	0.733869	175041
2026-03-15 09:46:17	HIV GNN Baseline	0.729872	175041
2026-03-15 09:46:43	HIV GNN Baseline	0.732046	175041
2026-03-15 09:47:04	HIV GNN Baseline	0.728086	175041
